Rank,Song,Artist
1,Espresso,Sabrina Carpenter
2,Beautiful Things,Benson Boone
3,BIRDS OF A FEATHER,Billie Eilish
4,Gata Only,"FloyyMenor, Cris MJ"
5,Lose Control,Teddy Swims
6,End of Beginning,Djo
7,Too Sweet,Hozier
8,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
9,Cruel Summer,Taylor Swift
10,Die With A Smile,"Lady Gaga, Bruno Mars"
11,i like the way you kiss me,Artemas
12,we can't be friends (wait for your love),Ariana Grande
13,Please Please Please,Sabrina Carpenter
14,"Good Luck, Babe!",Chappell Roan
15,greedy,Tate McRae
16,MILLION DOLLAR BABY,Tommy Richman
17,Who,Jimin
18,A Bar Song (Tipsy),Shaboozey
19,LUNA,"Feid, ATL Jacob"
20,Not Like Us,Kendrick Lamar
